id,px,py,pz,cx,cy,cz,r
0,-1.697510,28.100881,13.550511,-2.559218,27.840765,12.572219,1.737215
1,-9.675714,-6.480641,-33.076352,-10.638423,-5.583200,-33.461527,1.371338
2,-52.083997,-21.806029,20.793569,-53.303895,-23.753091,20.777066,2.297710
3,7.204632,-3.769615,-52.317816,7.299514,-3.222359,-52.518666,0.590620
4,29.508293,-50.854374,-52.894931,30.188213,-49.626500,-53.063324,1.448154
5,1.319152,0.977372,-49.936495,1.227571,1.543714,-48.623310,1.433033
6,-44.305700,23.983778,-35.393805,-44.612136,24.036716,-34.774258,0.693213
7,-50.591579,24.932926,-2.236165,-50.161449,25.165900,-1.570378,0.826172
8,-38.526961,-43.155207,1.027244,-38.286057,-42.032528,1.336676,1.234469
9,-12.052229,-14.687592,50.557921,-10.921074,-14.537304,50.975980,1.918754
10,25.023135,-42.578895,-25.113615,25.530983,-42.403139,-26.086452,1.186361
11,23.349015,26.192575,-39.936615,23.881985,26.499931,-38.465949,1.594172
12,29.168583,21.566206,-24.852343,30.316577,21.443816,-24.539806,1.196056
13,44.913396,20.437999,48.928917,44.836292,21.366213,47.969762,1.336976
14,37.762018,15.408918,13.539419,37.429348,14.385495,13.023178,1.193553
15,-52.478118,28.704060,46.909637,-53.212523,28.457055,46.845868,0.777450
16,-47.855182,51.958401,-19.244032,-48.514745,51.075438,-19.780368,1.249331
17,14.523861,-4.578431,-38.084454,13.324461,-4.306117,-38.107979,1.230150
18,-53.811626,41.547732,42.434111,-53.076771,40.803154,43.253839,1.329045
19,37.936415,-14.794488,21.261059,37.521709,-14.840838,22.516321,1.322805
20,-37.470045,39.373583,-6.940412,-37.424279,40.075360,-6.708993,0.740365
21,-21.272455,27.432216,-35.191915,-21.541392,28.291542,-34.791640,1.044164
22,40.978361,-26.882105,11.769426,40.106016,-26.825238,10.306757,1.704002
23,51.720816,-40.629823,36.729677,51.449352,-40.246937,35.851107,1.012152
24,45.673450,32.033094,5.399096,45.054880,30.435272,5.304671,2.040603
25,42.245128,-46.728579,28.243723,42.834104,-47.241761,27.581490,1.449494
26,14.037751,3.473010,47.784302,12.716909,3.974782,48.938007,1.824125
27,1.778912,-14.616521,55.129255,2.218876,-14.617815,-55.334240,1.297592
28,49.518612,40.831721,14.238092,49.566535,40.369639,13.093212,1.352023
29,-33.560162,22.170050,-29.211570,-32.632858,22.456210,-28.919805,1.013364
30,-25.784845,-47.512111,12.402542,-26.097906,-48.168185,11.647823,1.047875
31,41.455892,55.127144,-23.749817,41.239558,-55.846638,-22.859116,1.010200
32,37.148060,28.436124,47.494186,38.795598,29.269257,47.767672,1.978021
33,-10.446228,13.375491,44.965480,-10.326637,13.977434,43.803904,1.313735
34,25.524185,-29.339038,51.293693,24.378751,-28.590937,51.282033,1.368141
35,42.688868,-44.611248,-9.225912,41.967459,-44.649771,-10.135003,1.161190
